#[2025-10-03 17:53:35] [Pageview] http://localhost/stripe-pad/login-::1
[2025-11-09 21:59:55] [Pageview] http://localhost/stripe-pad/app/-::1
[2025-11-09 21:59:56] http://localhost/stripe-pad/app/app_conversations/unknown 404
[2025-11-09 21:59:56] [Pageview] http://localhost/stripe-pad/app/app_conversations/unknown-::1
[2025-11-09 21:59:57] [Pageview] http://localhost/stripe-pad/app/profile-::1
[2025-11-09 22:00:34] [Pageview] http://localhost/stripe-pad/app/-::1
[2025-11-09 22:00:40] [Pageview] http://localhost/stripe-pad/app/profile-::1
[2025-11-09 22:00:42] http://localhost/stripe-pad/app/contact 404
[2025-11-09 22:00:42] [Pageview] http://localhost/stripe-pad/app/contact-::1
[2025-11-09 22:00:43] [Pageview] http://localhost/stripe-pad/app/profile-::1
[2025-11-09 22:00:44] http://localhost/stripe-pad/app/app_conversations/unknown 404
[2025-11-09 22:00:44] [Pageview] http://localhost/stripe-pad/app/app_conversations/unknown-::1
[2025-11-09 22:00:44] http://localhost/stripe-pad/app/app_scenarios 404
[2025-11-09 22:00:44] [Pageview] http://localhost/stripe-pad/app/app_scenarios-::1
[2025-11-09 22:00:45] [Pageview] http://localhost/stripe-pad/app/-::1
[2025-11-09 22:00:47] [Pageview] http://localhost/stripe-pad/-::1
[2025-11-09 22:00:49] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:00:50] [Pageview] http://localhost/stripe-pad/-::1
[2025-11-09 22:00:50] [Pageview] http://localhost/stripe-pad/pricing-::1
[2025-11-09 22:00:52] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:00:53] [Pageview] http://localhost/stripe-pad/-::1
[2025-11-09 22:00:55] [Pageview] http://localhost/stripe-pad/?lang=en-::1
[2025-11-09 22:00:55] [Pageview] http://localhost/stripe-pad/?lang=es-::1
[2025-11-09 22:00:56] [Pageview] http://localhost/stripe-pad/login-::1
[2025-11-09 22:01:09] [Pageview] http://localhost/stripe-pad/app/-::1
[2025-11-09 22:01:12] http://localhost/stripe-pad/app/app_scenarios 404
[2025-11-09 22:01:12] [Pageview] http://localhost/stripe-pad/app/app_scenarios-::1
[2025-11-09 22:01:13] http://localhost/stripe-pad/app/app_conversations/unknown 404
[2025-11-09 22:01:13] [Pageview] http://localhost/stripe-pad/app/app_conversations/unknown-::1
[2025-11-09 22:01:14] [Pageview] http://localhost/stripe-pad/app/profile-::1
[2025-11-09 22:01:14] http://localhost/stripe-pad/app/contact 404
[2025-11-09 22:01:14] [Pageview] http://localhost/stripe-pad/app/contact-::1
[2025-11-09 22:01:15] http://localhost/stripe-pad/app/contact 404
[2025-11-09 22:01:15] [Pageview] http://localhost/stripe-pad/app/contact-::1
[2025-11-09 22:01:16] [Pageview] http://localhost/stripe-pad/app/profile-::1
[2025-11-09 22:01:16] http://localhost/stripe-pad/app/app_conversations/unknown 404
[2025-11-09 22:01:16] [Pageview] http://localhost/stripe-pad/app/app_conversations/unknown-::1
[2025-11-09 22:01:21] http://localhost/stripe-pad/app/app_scenarios 404
[2025-11-09 22:01:21] [Pageview] http://localhost/stripe-pad/app/app_scenarios-::1
[2025-11-09 22:01:22] [Pageview] http://localhost/stripe-pad/app/-::1
[2025-11-09 22:01:23] http://localhost/stripe-pad/app/app_conversations/unknown 404
[2025-11-09 22:01:23] [Pageview] http://localhost/stripe-pad/app/app_conversations/unknown-::1
[2025-11-09 22:01:24] [Pageview] http://localhost/stripe-pad/app/profile-::1
[2025-11-09 22:01:36] [Pageview] http://localhost/stripe-pad/app/-::1
[2025-11-09 22:01:41] [Pageview] http://localhost/stripe-pad/app/profile-::1
[2025-11-09 22:02:49] [Pageview] http://localhost/stripe-pad/app/-::1
[2025-11-09 22:02:50] http://localhost/stripe-pad/app/contact 404
[2025-11-09 22:02:50] [Pageview] http://localhost/stripe-pad/app/contact-::1
[2025-11-09 22:02:52] [Pageview] http://localhost/stripe-pad/-::1
[2025-11-09 22:02:59] [Pageview] http://localhost/stripe-pad/signup-::1
[2025-11-09 22:03:43] [Pageview] http://localhost/stripe-pad/login-::1
[2025-11-09 22:03:46] [Pageview] http://localhost/stripe-pad/forgotPassword-::1
[2025-11-09 22:07:58] [Pageview] http://localhost/stripe-pad/login-::1
[2025-11-09 22:08:00] [Pageview] http://localhost/stripe-pad/app/-::1
[2025-11-09 22:08:04] [Pageview] http://localhost/stripe-pad/app/bitcoin-::1
[2025-11-09 22:08:22] http://localhost/stripe-pad/app/app_scenarios 404
[2025-11-09 22:08:22] [Pageview] http://localhost/stripe-pad/app/app_scenarios-::1
[2025-11-09 22:08:23] [Pageview] http://localhost/stripe-pad/app/-::1
[2025-11-09 22:08:24] http://localhost/stripe-pad/app/app_scenarios 404
[2025-11-09 22:08:24] [Pageview] http://localhost/stripe-pad/app/app_scenarios-::1
[2025-11-09 22:08:25] [Pageview] http://localhost/stripe-pad/app/bitcoin-::1
[2025-11-09 22:08:28] http://localhost/stripe-pad/app/app_conversations/unknown 404
[2025-11-09 22:08:28] [Pageview] http://localhost/stripe-pad/app/app_conversations/unknown-::1
[2025-11-09 22:08:29] [Pageview] http://localhost/stripe-pad/app/profile-::1
[2025-11-09 22:08:30] http://localhost/stripe-pad/app/contact 404
[2025-11-09 22:08:30] [Pageview] http://localhost/stripe-pad/app/contact-::1
[2025-11-09 22:08:31] [Pageview] http://localhost/stripe-pad/app/bitcoin-::1
[2025-11-09 22:08:49] [Pageview] http://localhost/stripe-pad/app/bitcoin-::1
[2025-11-09 22:08:50] [Pageview] http://localhost/stripe-pad/app/bitcoin-::1
[2025-11-09 22:08:50] [Pageview] http://localhost/stripe-pad/app/bitcoin-::1
[2025-11-09 22:08:51] [Pageview] http://localhost/stripe-pad/app/bitcoin-::1
[2025-11-09 22:08:52] [Pageview] http://localhost/stripe-pad/app/bitcoin-::1
[2025-11-09 22:08:53] [Pageview] http://localhost/stripe-pad/app/bitcoin-::1
[2025-11-09 22:08:59] http://localhost/stripe-pad/app/app_scenarios 404
[2025-11-09 22:08:59] [Pageview] http://localhost/stripe-pad/app/app_scenarios-::1
[2025-11-09 22:09:00] [Pageview] http://localhost/stripe-pad/app/-::1
[2025-11-09 22:09:05] [Pageview] http://localhost/stripe-pad/app/profile-::1
[2025-11-09 22:09:38] [Pageview] http://localhost/stripe-pad/app/profile-::1
[2025-11-09 22:09:53] http://localhost/stripe-pad/app/contact 404
[2025-11-09 22:09:53] [Pageview] http://localhost/stripe-pad/app/contact-::1
[2025-11-09 22:09:54] http://localhost/stripe-pad/app/app_conversations/unknown 404
[2025-11-09 22:09:54] [Pageview] http://localhost/stripe-pad/app/app_conversations/unknown-::1
[2025-11-09 22:09:55] http://localhost/stripe-pad/app/app_scenarios 404
[2025-11-09 22:09:55] [Pageview] http://localhost/stripe-pad/app/app_scenarios-::1
[2025-11-09 22:09:56] [Pageview] http://localhost/stripe-pad/app/-::1
[2025-11-09 22:10:02] [Pageview] http://localhost/stripe-pad/app/bitcoin-::1
[2025-11-09 22:10:14] http://localhost/stripe-pad/app/app_conversations/unknown 404
[2025-11-09 22:10:14] [Pageview] http://localhost/stripe-pad/app/app_conversations/unknown-::1
[2025-11-09 22:10:16] [Pageview] http://localhost/stripe-pad/app/-::1
[2025-11-09 22:10:20] [Pageview] http://localhost/stripe-pad/app/profile-::1
[2025-11-09 22:10:26] [Pageview] http://localhost/stripe-pad/-::1
[2025-11-09 22:10:28] [Pageview] http://localhost/stripe-pad/login-::1
[2025-11-09 22:10:39] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:10:41] [Pageview] http://localhost/stripe-pad/pricing-::1
[2025-11-09 22:10:42] [Pageview] http://localhost/stripe-pad/-::1
[2025-11-09 22:11:03] [Pageview] http://localhost/stripe-pad/-::1
[2025-11-09 22:11:04] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:11:05] [Pageview] http://localhost/stripe-pad/pricing-::1
[2025-11-09 22:11:11] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:11:12] [Pageview] http://localhost/stripe-pad/-::1
[2025-11-09 22:11:13] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:11:14] [Pageview] http://localhost/stripe-pad/pricing-::1
[2025-11-09 22:23:04] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:23:05] [Pageview] http://localhost/stripe-pad/pricing-::1
[2025-11-09 22:23:07] [Pageview] http://localhost/stripe-pad/pricing-::1
[2025-11-09 22:23:09] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:23:10] [Pageview] http://localhost/stripe-pad/-::1
[2025-11-09 22:23:35] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:23:36] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:23:36] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:23:36] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:23:39] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:23:40] [Pageview] http://localhost/stripe-pad/pricing-::1
[2025-11-09 22:23:41] [Pageview] http://localhost/stripe-pad/faq-::1
[2025-11-09 22:23:42] [Pageview] http://localhost/stripe-pad/-::1
[2025-11-09 22:23:42] [Pageview] http://localhost/stripe-pad/pricing-::1
